,Pclass,Sex,Age,Fare,Embarked,Alone,Single,SmallF,MedF,LargeF
252,1,1,62.0,26.55,2,1,0,0,0,0
253,3,1,30.0,16.1,2,0,1,0,0,0
254,3,0,41.0,20.2125,2,0,0,1,0,0
255,3,0,29.0,15.2458,0,0,0,1,0,0
257,1,0,30.0,86.5,2,1,0,0,0,0
258,1,0,35.0,512.3292,0,1,0,0,0,0
259,2,0,50.0,26.0,2,0,1,0,0,0
261,3,1,3.0,31.3875,2,0,0,0,0,1
262,1,1,52.0,79.65,2,0,0,1,0,0
263,1,1,40.0,0.0,2,1,0,0,0,0
265,2,1,36.0,10.5,2,1,0,0,0,0
266,3,1,16.0,39.6875,2,0,0,0,0,1
267,3,1,25.0,7.775,2,0,1,0,0,0
268,1,0,58.0,153.4625,2,0,1,0,0,0
269,1,0,35.0,135.6333,2,1,0,0,0,0
271,3,1,25.0,0.0,2,1,0,0,0,0
272,2,0,41.0,19.5,2,0,1,0,0,0
273,1,1,37.0,29.7,0,0,1,0,0,0
275,1,0,63.0,77.9583,2,0,1,0,0,0
276,3,0,45.0,7.75,2,1,0,0,0,0
278,3,1,7.0,29.125,1,0,0,0,0,1
279,3,0,35.0,20.25,2,0,0,1,0,0
280,3,1,65.0,7.75,1,1,0,0,0,0
281,3,1,28.0,7.8542,2,1,0,0,0,0
282,3,1,16.0,9.5,2,1,0,0,0,0
283,3,1,19.0,8.05,2,1,0,0,0,0
285,3,1,33.0,8.6625,0,1,0,0,0,0
286,3,1,30.0,9.5,2,1,0,0,0,0
287,3,1,22.0,7.8958,2,1,0,0,0,0
288,2,1,42.0,13.0,2,1,0,0,0,0
289,3,0,22.0,7.75,1,1,0,0,0,0
290,1,0,26.0,78.85,2,1,0,0,0,0
291,1,0,19.0,91.0792,0,0,1,0,0,0
292,2,1,36.0,12.875,0,1,0,0,0,0
293,3,0,24.0,8.85,2,1,0,0,0,0
294,3,1,24.0,7.8958,2,1,0,0,0,0
296,3,1,23.5,7.2292,0,1,0,0,0,0
297,1,0,2.0,151.55,2,0,0,0,1,0
299,1,0,50.0,247.5208,0,0,1,0,0,0
302,3,1,19.0,0.0,2,1,0,0,0,0
305,1,1,0.92,151.55,2,0,0,0,1,0
307,1,0,17.0,108.9,0,0,1,0,0,0
308,2,1,30.0,24.0,0,0,1,0,0,0
309,1,0,30.0,56.9292,0,1,0,0,0,0
310,1,0,24.0,83.1583,0,1,0,0,0,0
311,1,0,18.0,262.375,0,0,0,0,1,0
312,2,0,26.0,26.0,2,0,0,1,0,0
313,3,1,28.0,7.8958,2,1,0,0,0,0
314,2,1,43.0,26.25,2,0,0,1,0,0
315,3,0,26.0,7.8542,2,1,0,0,0,0
316,2,0,24.0,26.0,2,0,1,0,0,0
317,2,1,54.0,14.0,2,1,0,0,0,0
318,1,0,31.0,164.8667,2,0,0,1,0,0
319,1,0,40.0,134.5,0,0,0,1,0,0
320,3,1,22.0,7.25,2,1,0,0,0,0
321,3,1,27.0,7.8958,2,1,0,0,0,0
322,2,0,30.0,12.35,1,1,0,0,0,0
323,2,0,22.0,29.0,2,0,0,1,0,0
325,1,0,36.0,135.6333,0,1,0,0,0,0
326,3,1,61.0,6.2375,2,1,0,0,0,0
327,2,0,36.0,13.0,2,1,0,0,0,0
328,3,0,31.0,20.525,2,0,0,1,0,0
329,1,0,16.0,57.9792,0,0,1,0,0,0
331,1,1,45.5,28.5,2,1,0,0,0,0
332,1,1,38.0,153.4625,2,0,1,0,0,0
333,3,1,16.0,18.0,2,0,0,1,0,0
336,1,1,29.0,66.6,2,0,1,0,0,0
337,1,0,41.0,134.5,0,1,0,0,0,0
338,3,1,45.0,8.05,2,1,0,0,0,0
339,1,1,45.0,35.5,2,1,0,0,0,0
340,2,1,2.0,26.0,2,0,0,1,0,0
341,1,0,24.0,263.0,2,0,0,0,0,1
342,2,1,28.0,13.0,2,1,0,0,0,0
343,2,1,25.0,13.0,2,1,0,0,0,0
344,2,1,36.0,13.0,2,1,0,0,0,0
345,2,0,24.0,13.0,2,1,0,0,0,0
346,2,0,40.0,13.0,2,1,0,0,0,0
348,3,1,3.0,15.9,2,0,0,1,0,0
349,3,1,42.0,8.6625,2,1,0,0,0,0
350,3,1,23.0,9.225,2,1,0,0,0,0
352,3,1,15.0,7.2292,0,0,0,1,0,0
353,3,1,25.0,17.8,2,0,1,0,0,0
355,3,1,28.0,9.5,2,1,0,0,0,0
356,1,0,22.0,55.0,2,0,1,0,0,0
357,2,0,38.0,13.0,2,1,0,0,0,0
360,3,1,40.0,27.9,2,0,0,0,0,1
361,2,1,29.0,27.7208,0,0,1,0,0,0
362,3,0,45.0,14.4542,0,0,1,0,0,0
363,3,1,35.0,7.05,2,1,0,0,0,0
365,3,1,30.0,7.25,2,1,0,0,0,0
366,1,0,60.0,75.25,0,0,1,0,0,0
369,1,0,24.0,69.3,0,1,0,0,0,0
370,1,1,25.0,55.4417,0,0,1,0,0,0
371,3,1,18.0,6.4958,2,0,1,0,0,0
372,3,1,19.0,8.05,2,1,0,0,0,0
373,1,1,22.0,135.6333,0,1,0,0,0,0
374,3,0,3.0,21.075,2,0,0,0,1,0
376,3,0,22.0,7.25,2,1,0,0,0,0
377,1,1,27.0,211.5,0,0,0,1,0,0
378,3,1,20.0,4.0125,0,1,0,0,0,0
379,3,1,19.0,7.775,2,1,0,0,0,0
380,1,0,42.0,227.525,0,1,0,0,0,0
381,3,0,1.0,15.7417,0,0,0,1,0,0
382,3,1,32.0,7.925,2,1,0,0,0,0
383,1,0,35.0,52.0,2,0,1,0,0,0
385,2,1,18.0,73.5,2,1,0,0,0,0
386,3,1,1.0,46.9,2,0,0,0,0,1
387,2,0,36.0,13.0,2,1,0,0,0,0
389,2,0,17.0,12.0,0,1,0,0,0,0
390,1,1,36.0,120.0,2,0,0,0,1,0
391,3,1,21.0,7.7958,2,1,0,0,0,0
392,3,1,28.0,7.925,2,0,0,1,0,0
393,1,0,23.0,113.275,0,0,1,0,0,0
394,3,0,24.0,16.7,2,0,0,1,0,0
395,3,1,22.0,7.7958,2,1,0,0,0,0
396,3,0,31.0,7.8542,2,1,0,0,0,0
397,2,1,46.0,26.0,2,1,0,0,0,0
398,2,1,23.0,10.5,2,1,0,0,0,0
399,2,0,28.0,12.65,2,1,0,0,0,0
400,3,1,39.0,7.925,2,1,0,0,0,0
401,3,1,26.0,8.05,2,1,0,0,0,0
402,3,0,21.0,9.825,2,0,1,0,0,0
403,3,1,28.0,15.85,2,0,1,0,0,0
404,3,0,20.0,8.6625,2,1,0,0,0,0
405,2,1,34.0,21.0,2,0,1,0,0,0
406,3,1,51.0,7.75,2,1,0,0,0,0
407,2,1,3.0,18.75,2,0,0,1,0,0
408,3,1,21.0,7.775,2,1,0,0,0,0
412,1,0,33.0,90.0,1,0,1,0,0,0
414,3,1,44.0,7.925,2,1,0,0,0,0
416,2,0,34.0,32.5,2,0,0,1,0,0
417,2,0,18.0,13.0,2,0,0,1,0,0
418,2,1,30.0,13.0,2,1,0,0,0,0
419,3,0,10.0,24.15,2,0,0,1,0,0
421,3,1,21.0,7.7333,1,1,0,0,0,0
422,3,1,29.0,7.875,2,1,0,0,0,0
423,3,0,28.0,14.4,2,0,0,1,0,0
424,3,1,18.0,20.2125,2,0,0,1,0,0
426,2,0,28.0,26.0,2,0,1,0,0,0
427,2,0,19.0,26.0,2,1,0,0,0,0
429,3,1,32.0,8.05,2,1,0,0,0,0
430,1,1,28.0,26.55,2,1,0,0,0,0
432,2,0,42.0,26.0,2,0,1,0,0,0
433,3,1,17.0,7.125,2,1,0,0,0,0
434,1,1,50.0,55.9,2,0,1,0,0,0
435,1,0,14.0,120.0,2,0,0,0,1,0
436,3,0,21.0,34.375,2,0,0,0,1,0
437,2,0,24.0,18.75,2,0,0,0,0,1
438,1,1,64.0,263.0,2,0,0,0,0,1
439,2,1,31.0,10.5,2,1,0,0,0,0
440,2,0,45.0,26.25,2,0,0,1,0,0
441,3,1,20.0,9.5,2,1,0,0,0,0
442,3,1,25.0,7.775,2,0,1,0,0,0
443,2,0,28.0,13.0,2,1,0,0,0,0
445,1,1,4.0,81.8583,2,0,0,1,0,0
446,2,0,13.0,19.5,2,0,1,0,0,0
447,1,1,34.0,26.55,2,1,0,0,0,0
448,3,0,5.0,19.2583,0,0,0,0,1,0
449,1,1,52.0,30.5,2,1,0,0,0,0
450,2,1,36.0,27.75,2,0,0,0,1,0
452,1,1,30.0,27.75,0,1,0,0,0,0
453,1,1,49.0,89.1042,0,0,1,0,0,0
455,3,1,29.0,7.8958,0,1,0,0,0,0
456,1,1,65.0,26.55,2,1,0,0,0,0
458,2,0,50.0,10.5,2,1,0,0,0,0
460,1,1,48.0,26.55,2,1,0,0,0,0
461,3,1,34.0,8.05,2,1,0,0,0,0
462,1,1,47.0,38.5,2,1,0,0,0,0
463,2,1,48.0,13.0,2,1,0,0,0,0
465,3,1,38.0,7.05,2,1,0,0,0,0
467,1,1,56.0,26.55,2,1,0,0,0,0
469,3,0,0.75,19.2583,0,0,0,0,1,0
471,3,1,38.0,8.6625,2,1,0,0,0,0
472,2,0,33.0,27.75,2,0,0,0,1,0
473,2,0,23.0,13.7917,0,1,0,0,0,0
474,3,0,22.0,9.8375,2,1,0,0,0,0
476,2,1,34.0,21.0,2,0,1,0,0,0
477,3,1,29.0,7.0458,2,0,1,0,0,0
478,3,1,22.0,7.5208,2,1,0,0,0,0
479,3,0,2.0,12.2875,2,0,1,0,0,0
480,3,1,9.0,46.9,2,0,0,0,0,1
482,3,1,50.0,8.05,2,1,0,0,0,0
483,3,0,63.0,9.5875,2,1,0,0,0,0
484,1,1,25.0,91.0792,0,0,1,0,0,0
486,1,0,35.0,90.0,2,0,1,0,0,0
487,1,1,58.0,29.7,0,1,0,0,0,0
488,3,1,30.0,8.05,2,1,0,0,0,0
489,3,1,9.0,15.9,2,0,0,1,0,0
491,3,1,21.0,7.25,2,1,0,0,0,0
492,1,1,55.0,30.5,2,1,0,0,0,0
493,1,1,71.0,49.5042,0,1,0,0,0,0
494,3,1,21.0,8.05,2,1,0,0,0,0
496,1,0,54.0,78.2667,0,0,1,0,0,0
498,1,0,25.0,151.55,2,0,0,0,1,0
499,3,1,24.0,7.7958,2,1,0,0,0,0
500,3,1,17.0,8.6625,2,1,0,0,0,0
501,3,0,21.0,7.75,1,1,0,0,0,0
503,3,0,37.0,9.5875,2,1,0,0,0,0
504,1,0,16.0,86.5,2,1,0,0,0,0
505,1,1,18.0,108.9,0,0,1,0,0,0
506,2,0,33.0,26.0,2,0,0,1,0,0
508,3,1,28.0,22.525,2,1,0,0,0,0
509,3,1,26.0,56.4958,2,1,0,0,0,0
510,3,1,29.0,7.75,1,1,0,0,0,0
512,1,1,36.0,26.2875,2,1,0,0,0,0
513,1,0,54.0,59.4,0,0,1,0,0,0
514,3,1,24.0,7.4958,2,1,0,0,0,0
515,1,1,47.0,34.0208,2,1,0,0,0,0
516,2,0,34.0,10.5,2,1,0,0,0,0
518,2,0,36.0,26.0,2,0,1,0,0,0
519,3,1,32.0,7.8958,2,1,0,0,0,0
520,1,0,30.0,93.5,2,1,0,0,0,0
521,3,1,22.0,7.8958,2,1,0,0,0,0
523,1,0,44.0,57.9792,0,0,1,0,0,0
525,3,1,40.5,7.75,1,1,0,0,0,0
526,2,0,50.0,10.5,2,1,0,0,0,0
528,3,1,39.0,7.925,2,1,0,0,0,0
529,2,1,23.0,11.5,2,0,0,0,1,0
530,2,0,2.0,26.0,2,0,0,1,0,0
532,3,1,17.0,7.2292,0,0,0,1,0,0
534,3,0,30.0,8.6625,2,1,0,0,0,0
535,2,0,7.0,26.25,2,0,0,1,0,0
536,1,1,45.0,26.55,2,1,0,0,0,0
537,1,0,30.0,106.425,0,1,0,0,0,0
539,1,0,22.0,49.5,0,0,0,1,0,0
540,1,0,36.0,71.0,2,0,0,1,0,0
541,3,0,9.0,31.275,2,0,0,0,0,1
542,3,0,11.0,31.275,2,0,0,0,0,1
543,2,1,32.0,26.0,2,0,1,0,0,0
544,1,1,50.0,106.425,0,0,1,0,0,0
545,1,1,64.0,26.0,2,1,0,0,0,0
546,2,0,19.0,26.0,2,0,1,0,0,0
548,3,1,33.0,20.525,2,0,0,1,0,0
549,2,1,8.0,36.75,2,0,0,1,0,0
550,1,1,17.0,110.8833,0,0,0,1,0,0
551,2,1,27.0,26.0,2,1,0,0,0,0
553,3,1,22.0,7.225,0,1,0,0,0,0
554,3,0,22.0,7.775,2,1,0,0,0,0
555,1,1,62.0,26.55,2,1,0,0,0,0
556,1,0,48.0,39.6,0,0,1,0,0,0
558,1,0,39.0,79.65,2,0,0,1,0,0
559,3,0,36.0,17.4,2,0,1,0,0,0
561,3,1,40.0,7.8958,2,1,0,0,0,0
562,2,1,28.0,13.5,2,1,0,0,0,0
565,3,1,24.0,24.15,2,0,0,1,0,0
566,3,1,19.0,7.8958,2,1,0,0,0,0
567,3,0,29.0,21.075,2,0,0,0,1,0
569,3,1,32.0,7.8542,2,1,0,0,0,0
570,2,1,62.0,10.5,2,1,0,0,0,0
571,1,0,53.0,51.4792,2,0,0,1,0,0
572,1,1,36.0,26.3875,2,1,0,0,0,0
574,3,1,16.0,8.05,2,1,0,0,0,0
575,3,1,19.0,14.5,2,1,0,0,0,0
576,2,0,34.0,13.0,2,1,0,0,0,0
577,1,0,39.0,55.9,2,0,1,0,0,0
579,3,1,32.0,7.925,2,1,0,0,0,0
580,2,0,25.0,30.0,2,0,0,1,0,0
581,1,0,39.0,110.8833,0,0,0,1,0,0
582,2,1,54.0,26.0,2,1,0,0,0,0
583,1,1,36.0,40.125,0,1,0,0,0,0
585,1,0,18.0,79.65,2,0,0,1,0,0
586,2,1,47.0,15.0,2,1,0,0,0,0
587,1,1,60.0,79.2,0,0,0,1,0,0
588,3,1,22.0,8.05,2,1,0,0,0,0
590,3,1,35.0,7.125,2,1,0,0,0,0
591,1,0,52.0,78.2667,0,0,1,0,0,0
592,3,1,47.0,7.25,2,1,0,0,0,0
594,2,1,37.0,26.0,2,0,1,0,0,0
595,3,1,36.0,24.15,2,0,0,1,0,0
597,3,1,49.0,0.0,2,1,0,0,0,0
599,1,1,49.0,56.9292,0,0,1,0,0,0
600,2,0,24.0,27.0,2,0,0,0,1,0
603,3,1,44.0,8.05,2,1,0,0,0,0
604,1,1,35.0,26.55,0,1,0,0,0,0
605,3,1,36.0,15.55,2,0,1,0,0,0
606,3,1,30.0,7.8958,2,1,0,0,0,0
607,1,1,27.0,30.5,2,1,0,0,0,0
608,2,0,22.0,41.5792,0,0,0,0,1,0
609,1,0,40.0,153.4625,2,1,0,0,0,0
610,3,0,39.0,31.275,2,0,0,0,0,1
614,3,1,35.0,8.05,2,1,0,0,0,0
615,2,0,24.0,65.0,2,0,0,0,1,0
616,3,1,34.0,14.4,2,0,0,1,0,0
617,3,0,26.0,16.1,2,0,1,0,0,0
618,2,0,4.0,39.0,2,0,0,0,1,0
619,2,1,26.0,10.5,2,1,0,0,0,0
620,3,1,27.0,14.4542,0,0,1,0,0,0
621,1,1,42.0,52.5542,2,0,1,0,0,0
622,3,1,20.0,15.7417,0,0,0,1,0,0
623,3,1,21.0,7.8542,2,1,0,0,0,0
624,3,1,21.0,16.1,2,1,0,0,0,0
625,1,1,61.0,32.3208,2,1,0,0,0,0
626,2,1,57.0,12.35,1,1,0,0,0,0
627,1,0,21.0,77.9583,2,1,0,0,0,0
628,3,1,26.0,7.8958,2,1,0,0,0,0
630,1,1,80.0,30.0,2,1,0,0,0,0
631,3,1,51.0,7.0542,2,1,0,0,0,0
632,1,1,32.0,30.5,0,1,0,0,0,0
634,3,0,9.0,27.9,2,0,0,0,0,1
635,2,0,28.0,13.0,2,1,0,0,0,0
636,3,1,32.0,7.925,2,1,0,0,0,0
637,2,1,31.0,26.25,2,0,0,1,0,0
638,3,0,41.0,39.6875,2,0,0,0,0,1
640,3,1,20.0,7.8542,2,1,0,0,0,0
641,1,0,24.0,69.3,0,1,0,0,0,0
642,3,0,2.0,27.9,2,0,0,0,0,1
644,3,0,0.75,19.2583,0,0,0,0,1,0
645,1,1,48.0,76.7292,0,0,1,0,0,0
646,3,1,19.0,7.8958,2,1,0,0,0,0
647,1,1,56.0,35.5,0,1,0,0,0,0
649,3,0,23.0,7.55,2,1,0,0,0,0
651,2,0,18.0,23.0,2,0,1,0,0,0
652,3,1,21.0,8.4333,2,1,0,0,0,0
654,3,0,18.0,6.75,1,1,0,0,0,0
655,2,1,24.0,73.5,2,0,0,1,0,0
657,3,0,32.0,15.5,1,0,0,1,0,0
658,2,1,23.0,13.0,2,1,0,0,0,0
659,1,1,58.0,113.275,0,0,0,1,0,0
660,1,1,50.0,133.65,2,0,0,1,0,0
661,3,1,40.0,7.225,0,1,0,0,0,0
662,1,1,47.0,25.5875,2,1,0,0,0,0
663,3,1,36.0,7.4958,2,1,0,0,0,0
664,3,1,20.0,7.925,2,0,1,0,0,0
665,2,1,32.0,73.5,2,0,0,1,0,0
666,2,1,25.0,13.0,2,1,0,0,0,0
668,3,1,43.0,8.05,2,1,0,0,0,0
670,2,0,40.0,39.0,2,0,0,1,0,0
